Artist;Achieve;Affect;Anger;Anx;Article;Assent;Body;Cause;Certain;Cogmech;Comm;Death;Discrep;Down;Eating;Excl;Family;Feel;Fillers;Friends;Future;Groom;Hear;Home;Humans;I;Incl;Inhib;Insight;Job;Leisure;Metaph;Money;Motion;Music;Negate;Negemo;Nonfl;Number;Occup;Optim;Other;Othref;Past;Physcal;Posemo;Posfeel;Preps;Present;Pronoun;Relig;Sad;School;See;Self;Senses;Sexual;Sleep;Social;Space;Sports;Swear;TV;Tentat;Time;Up;We;You
CorryKonings;0.0019229346941794245;0.05643073737149619;0.002218770800976259;0.0007395902669920864;0.031284668293765264;0.0017750166407810074;0.00880112417720583;0.005916722135936691;0.02019081428888396;0.062199541454034474;0.014939723393240147;7.395902669920864e-05;0.029657569706382662;0.00022187708009762592;0.00029583610679683456;0.042896235485541015;0.004215664521854893;0.006212558242733526;0.0;0.001848975667480216;0.014865764366540938;7.395902669920864e-05;0.012646993565564677;0.001848975667480216;0.002958361067968345;0.07736114192737223;0.05790991790548036;0.0003697951334960432;0.018119961541306115;0.00022187708009762592;0.005694845055839065;0.0009614673470897123;0.0017010576140817984;0.028326307225796907;0.002514606907773093;0.014569928259744102;0.027956512092300864;0.0;0.0059906811626359;0.002514606907773093;0.0041417054951556845;0.0069521485097256116;0.06833814067006877;0.03579616892241698;0.019377264995192663;0.027290880852007992;0.015235559500036982;0.08083721618223504;0.15072849641298722;0.15620146438872864;0.0008875083203905037;0.017010576140817985;0.0003697951334960432;0.00872716515050662;0.0813549293691295;0.02780859403890245;0.006434435322831151;0.0041417054951556845;0.11766881147844095;0.0239627246505436;0.0011833444271873385;0.0;0.0;0.0239627246505436;0.08209451963612159;0.005768804082538275;0.0031802381480659715;0.05546927002440648
Frenna;0.0015471892728210418;0.021454357916451783;0.0040226921093347075;0.0019082001031459515;0.02429087158329036;0.0026302217637957713;0.010572460030943786;0.003816400206291903;0.004589994842702424;0.05234657039711192;0.010108303249097473;5.157297576070139e-05;0.022382671480144403;0.0007735946364105209;0.001701908200103146;0.039247034553893764;0.002733367715317174;0.007117070654976792;0.0002062919030428056;0.0018050541516245488;0.010108303249097473;0.0001547189272821042;0.008715832903558535;0.00041258380608561113;0.0057246003094378545;0.07802991232594121;0.04301186178442496;0.0003094378545642084;0.021454357916451783;0.0007735946364105209;0.0026302217637957713;0.0015987622485817432;0.003042805569881382;0.026611655492521917;0.0004641567818463125;0.0057246003094378545;0.013512119649303765;0.0010830324909747292;0.002114492006188757;0.003042805569881382;0.0008767405879319237;0.008457968024755028;0.051985559566787014;0.01670964414646725;0.013769984528107272;0.007787519339865909;0.0031975244971634864;0.06400206291903042;0.1444043321299639;0.13579164517792675;0.0015471892728210418;0.002423929860752965;0.0007220216606498196;0.008612686952037133;0.08060856111397627;0.024548736462093858;0.0010314595152140279;0.0009283135636926252;0.07524497163486334;0.007529654461062403;0.0016503352243424445;0.0007220216606498196;0.0001547189272821042;0.003816400206291903;0.0296544610624033;0.008096957194430118;0.002475502836513667;0.04017534811758639
KennyB;0.0014900908955446284;0.025033527045149755;0.000894054537326777;0.0005960363582178513;0.02279839070183281;0.0047682908657428105;0.008195499925495455;0.0011920727164357026;0.008195499925495455;0.03591119058262554;0.008642527194158844;0.00014900908955446285;0.01832811801519893;0.0;0.0037252272388615705;0.020265236179406943;0.0077484726568320655;0.005066309044851736;0.00029801817910892565;0.003278199970198182;0.007450454477723141;0.00014900908955446285;0.0068544181195052895;0.00029801817910892565;0.005215318134406199;0.043659663239457615;0.04589479958277455;0.000894054537326777;0.009536581731485621;0.0;0.008195499925495455;0.001788109074653554;0.0004470272686633885;0.009536581731485621;0.0007450454477723142;0.006109372671732976;0.010281627179257936;0.0;0.00208612725376248;0.001639099985099091;0.002235136343316942;0.012367754433020416;0.042914617791685296;0.016241990761436446;0.01266577261212934;0.014304872597228431;0.007152436298614216;0.05602741767247802;0.09372671732975713;0.09327969006109373;0.001639099985099091;0.003278199970198182;0.00014900908955446285;0.009089554462822232;0.04589479958277455;0.021159290716733718;0.001788109074653554;0.001788109074653554;0.07539859931455818;0.012069736253911487;0.0005960363582178513;0.0;0.00014900908955446285;0.010430636268812398;0.04455371777678439;0.004917299955297274;0.002235136343316942;0.027417672478021158
DeSjonnies;0.0;0.033939393939393936;0.003151515151515152;0.001696969696969697;0.061575757575757575;0.013575757575757576;0.01309090909090909;0.005818181818181818;0.02084848484848485;0.044121212121212124;0.01406060606060606;0.0009696969696969696;0.01987878787878788;0.0009696969696969696;0.0038787878787878787;0.030303030303030307;0.005575757575757576;0.0038787878787878787;0.0;0.0026666666666666666;0.011393939393939394;0.0026666666666666666;0.012606060606060608;0.0019393939393939393;0.002909090909090909;0.05551515151515152;0.057212121212121214;0.0;0.014303030303030304;0.0004848484848484848;0.018424242424242426;0.0009696969696969696;0.001696969696969697;0.03878787878787879;0.0077575757575757565;0.012363636363636365;0.013818181818181818;0.0002424242424242424;0.002424242424242424;0.0007272727272727272;0.0014545454545454545;0.008;0.03684848484848485;0.022060606060606062;0.022303030303030304;0.02012121212121212;0.004848484848484849;0.09309090909090907;0.14812121212121213;0.09915151515151516;0.0;0.007272727272727274;0.0;0.01309090909090909;0.05915151515151515;0.029575757575757575;0.002424242424242424;0.0038787878787878787;0.06981818181818182;0.016969696969696968;0.00703030303030303;0.0004848484848484848;0.0;0.01212121212121212;0.0336969696969697;0.016242424242424242;0.003151515151515152;0.019151515151515152
PaterMoeskroen;0.0009458500827618822;0.029971624497517144;0.002482856467249941;0.002896665878458265;0.057342161267439115;0.0046110191534641755;0.010227004019862852;0.0030148971388035;0.01602033577677938;0.0445731851501537;0.008217072593993851;0.0011823126034523528;0.023823598959564908;0.000827618822416647;0.005556869236226058;0.036237881295814615;0.0021872783163868533;0.004729250413809411;0.0004138094112083235;0.0012414282336249704;0.006798297469851029;0.0009458500827618822;0.010759044691416409;0.003133128399148735;0.0030740127689761173;0.044336722629463234;0.06863324663040908;0.000650271931898794;0.01247339796642232;0.0023055095767320877;0.016375029557815085;0.003783400331047529;0.0017734689051785294;0.02855284937337432;0.00827618822416647;0.011409316623315204;0.013833057460392529;0.0004138094112083235;0.007389453771577205;0.004433672262946322;0.0011231969732797352;0.015074485694017497;0.0455781508630882;0.03044454953889808;0.019094348545755497;0.015961220146606763;0.00425632537242847;0.07897848191061717;0.1360841806573658;0.1018562307874202;0.002601087727595176;0.004138094112083235;0.001300543863797588;0.00727122251123197;0.04871127926223694;0.02329155828801135;0.0022463939465594703;0.002541972097422559;0.06662331520454008;0.0194490423267912;0.0028375502482856467;0.0002955781508630882;0.0004138094112083235;0.011409316623315204;0.0546228422794987;0.010522582170725941;0.0027193189879404114;0.0194490423267912
Sef;0.0006122136625682362;0.03147798581705015;0.0029590327024131427;0.0013774807407785318;0.058364369164838524;0.002550890260700985;0.006785368093464619;0.00821386663945717;0.00989745421151982;0.06800673435028826;0.011019845926228254;0.00020407122085607882;0.031273914596194066;0.0009183204938523543;0.0027039436763430435;0.03785521146880262;0.0017346053772766695;0.0041834600275496145;0.00010203561042803938;0.0008162848834243152;0.00821386663945717;0.0002550890260700985;0.010407632263660016;0.000969338299066374;0.0034181929493393194;0.06157849089332178;0.05816029794398245;0.0007142492729962758;0.024386510892301413;0.000969338299066374;0.00505076271618795;0.0011223917147084332;0.002856997091985103;0.025610938217437887;0.0027039436763430435;0.007703688587316973;0.0163256976684863;0.00040814244171215753;0.006020101015254325;0.002295801234630886;0.0012244273251364724;0.007040457119534719;0.04683434518647008;0.013723789602571295;0.01571348400591806;0.01474414570685169;0.005305851742258048;0.0653027906739452;0.1546859854089077;0.12024896688944442;0.0009183204938523543;0.005560940768328146;0.0007652670782102954;0.012907504719146982;0.06234375797153206;0.02836589969899495;0.003928371001479515;0.0027039436763430435;0.06974133972756492;0.0165807866945564;0.0007652670782102954;0.0010713739094944136;0.00015305341564205907;0.019335748176113464;0.04504872200397938;0.010713739094944136;0.00045916024692617717;0.03688587316973624
StefBos;0.0025558500567966678;0.037154486936766366;0.003502461188943582;0.0027451722832260513;0.0797519878833775;0.0008519500189322226;0.009608102991291178;0.004117758424839075;0.010318061340401363;0.05594471790988262;0.009560772434683831;0.0020352139341158646;0.020730783794017417;0.0006152972358954941;0.0030764861794774704;0.03445664521014767;0.0034078000757288905;0.003502461188943582;0.00028398333964407417;0.0006626277925028399;0.008188186293070806;0.0001893222264293828;0.011548655812192351;0.0033131389625141987;0.004875047330556608;0.06914994320333206;0.06758803483528966;0.00028398333964407417;0.02522718667171526;0.0018458917076864824;0.014293828095418404;0.006862930708065127;0.003360469519121545;0.030480878455130637;0.00861416130253692;0.011785308595229079;0.02224536160545248;9.46611132146914e-05;0.003360469519121545;0.005537675123059447;0.0014672472548277167;0.02054146156758804;0.051732298371828855;0.026505111700113597;0.019310867095797046;0.014530480878455132;0.00473305566073457;0.08027262400605831;0.17640098447557742;0.136501325255585;0.004827716773949262;0.009797425217720559;0.0011359333585762971;0.014388489208633094;0.0732203710715638;0.02958159787959106;0.0034078000757288905;0.0038337750851950023;0.07733812949640287;0.023570617190458158;0.001751230594471791;0.0004259750094661113;0.0007572889057175312;0.010128739113971979;0.04624195380537675;0.009513441878076486;0.003786444528587656;0.021772056039379026
LangeFrans;0.001999012833168805;0.03692003948667325;0.006490621915103653;0.0012092793682132279;0.06080947680157945;0.002443237907206318;0.009007897334649555;0.006836130306021718;0.008983218163869693;0.05402270483711747;0.013252714708785784;0.0011599210266535044;0.02314906219151036;0.0007650542941757157;0.003455083909180652;0.04047384007897335;0.005009871668311946;0.004417571569595262;0.00012339585389930895;0.0028381046396841066;0.0051085883514313925;0.00017275419545903256;0.010784797630799606;0.0013820335636722605;0.004244817374136229;0.060414610069101676;0.07152023692003949;0.0007650542941757157;0.018904244817374138;0.00481243830207305;0.00893385982230997;0.0024185587364264557;0.002936821322803554;0.02411154985192497;0.002073050345508391;0.009106614017769002;0.018460019743336626;0.00046890424481737413;0.005676209279368213;0.008588351431391906;0.00384995064165844;0.01031589338598223;0.053010858835143136;0.024012833168805533;0.015572556762092791;0.018040473840078973;0.005256663376110564;0.07956564659427444;0.1513573543928924;0.12657946692991115;0.0012092793682132279;0.0040967423494570575;0.0017769002961500497;0.008588351431391906;0.06315399802566632;0.0246791707798618;0.0023938795656465945;0.0018015794669299114;0.08302073050345507;0.018262586377097732;0.00192497532082922;0.002492596248766041;0.00041954590325765054;0.01113030602171767;0.03867226061204344;0.010513326752221127;0.00234452122408687;0.0361796643632774
DeKraaien;0.0;0.032902074503680566;0.003903635958063797;0.00022306491188935987;0.03212134731206781;0.007584207004238233;0.009591791211242472;0.0052420254293999565;0.013049297345527549;0.06457729199196967;0.004795895605621236;0.00011153245594467994;0.037251840285523086;0.00022306491188935987;0.003122908766451037;0.053424046397501666;0.002230649118893598;0.0030113763105063572;0.0008922596475574393;0.0003345973678340397;0.014387686816863709;0.00022306491188935987;0.003122908766451037;0.003345973678340397;0.00044612982377871963;0.03970555431630605;0.05431630604505911;0.0003345973678340397;0.018179790318982824;0.0014499219272808388;0.008476466651795673;0.00044612982377871963;0.003345973678340397;0.04896274815971448;0.00044612982377871963;0.01215703769797011;0.010149453490965871;0.0003345973678340397;0.0052420254293999565;0.0020075842070042377;0.0005576622797233995;0.004795895605621236;0.08732991300468436;0.018960517510595583;0.01148784296230203;0.0227526210127147;0.0014499219272808388;0.08119562792772697;0.1558108409547178;0.14019629712246265;0.0003345973678340397;0.0026767789426723177;0.0005576622797233995;0.008253401739906312;0.042939995538701765;0.014610751728753068;0.0010037921035021189;0.0006691947356680794;0.09792549631942896;0.011710907874191387;0.0003345973678340397;0.0021191166629489183;0.00044612982377871963;0.009480258755297791;0.038924827124693286;0.011153245594467991;0.003122908766451037;0.07718045951371849
WillekeAlberti;0.0006313131313131314;0.05113636363636364;0.0012626262626262627;0.0018939393939393942;0.036616161616161616;0.004419191919191919;0.004419191919191919;0.010101010101010102;0.0220959595959596;0.05492424242424242;0.010101010101010102;0.0;0.01893939393939394;0.0;0.0006313131313131314;0.047979797979797977;0.005050505050505051;0.007575757575757577;0.0;0.006944444444444444;0.010732323232323232;0.0;0.011363636363636364;0.002525252525252525;0.0012626262626262627;0.06881313131313131;0.05618686868686869;0.0;0.016414141414141416;0.0018939393939393942;0.0037878787878787884;0.0006313131313131314;0.0031565656565656565;0.029040404040404037;0.0;0.017676767676767676;0.02083333333333333;0.0006313131313131314;0.008838383838383838;0.004419191919191919;0.0006313131313131314;0.0037878787878787884;0.04166666666666666;0.058712121212121215;0.00946969696969697;0.027146464646464648;0.013257575757575758;0.08270202020202021;0.13762626262626262;0.1268939393939394;0.0006313131313131314;0.011994949494949494;0.0018939393939393942;0.007575757575757577;0.07512626262626262;0.02651515151515152;0.0037878787878787884;0.0006313131313131314;0.08080808080808081;0.017676767676767676;0.0006313131313131314;0.0;0.0;0.014520202020202018;0.09027777777777778;0.006313131313131313;0.006313131313131313;0.02525252525252525
Extince;0.001193871459839491;0.026994760230815148;0.0044438548782914375;0.0007295881143463554;0.04768853220136632;0.0043112024938648285;0.01107647409962194;0.006632619221330504;0.010744843138555416;0.06082111825960072;0.023280493466870063;0.00046428334549313525;0.027724348345161503;0.001857133381972541;0.004510181070504742;0.044836505936194204;0.006102009683624063;0.0035816143795184717;0.00046428334549313525;0.0005306095377064404;0.007693838296743385;0.0015918286131193207;0.020561119586124558;0.0015255024209060155;0.003316309610665252;0.0579027658022153;0.06181601114280029;0.0007959143065596604;0.02115805531604431;0.0026530476885322013;0.007760164488956689;0.0011275452676261855;0.0013928500364794056;0.028918219805000995;0.002122438150825761;0.007295881143463555;0.013862174172580751;0.00026530476885322014;0.003979571532798302;0.005040790608211183;0.0020561119586124557;0.01107647409962194;0.053127279962857335;0.03475492471977184;0.017112157591032698;0.01293360748159448;0.0011275452676261855;0.07448431385554155;0.14041254891556676;0.1223718246335478;0.0006632619221330503;0.003316309610665252;0.0012601976520527954;0.009153014525436095;0.059494594415334626;0.03389268422099887;0.0007295881143463554;0.001658154805332626;0.09159647144657423;0.01777541951316575;0.0010612190754128805;0.0007959143065596604;0.0001326523844266101;0.00961729787092923;0.038336539099290315;0.012800955097167872;0.0015255024209060155;0.03807123433043709
